location_id,location_name,sex_id,age_group_id,age_group_name,sex_name,year_id,measure_id,measure_name,metric_name,Population,upper,lower,Proportion of the population considered current smokers (currently use any smoked tobacco product on a daily or occasional basis),"Proportion of the population with unsafe water exposure, unimproved & untreated (mean value directly from IHME)","Proportion of the population with unsafe sanitation exposure, unimproved & untreated (mean value directly from IHME)","Physical activity represented by Metabolic Equivalent, METs (ratio of the working metabolic rate to the resting metabolic rate; one MET is equivalent to 1 kcal/kg/hour) (mean average value directly from IHME)",Proportion of the population exposed to household air pollution from solid fuels (mean value directly from IHME),"Daily alcohol consumption in current drinkers, per day over a 12-month period (mean average value g/day directly from IHME)",High blood pressure measured through brachial systolic blood pressure level (mean average value mmHg directly from IHME),High body-mass index level (obesity defined as a BMI greater than 20 to 25 kg/m2 for adults) (mean value directly from IHME),High cholesterol measured through blood concentration of low-density lipoprotein (LDL) in units of mmol/L (mean average value directly from IHME),"Proportion of the population exposed to high occupational particulate matter, gases and fumes (mean value directly from IHME)"
4750,Acre,1,2,Early Neonatal,Male,2017,44,Population,Number,144.75,170.05,123.00,,0.08,0.27,,0.06,0.33,,,,
4750,Acre,1,3,Late Neonatal,Male,2017,44,Population,Number,431.07,506.45,366.30,,0.08,0.27,,0.06,0.33,,,,
4750,Acre,1,4,Post Neonatal,Male,2017,44,Population,Number,"6,941.57","8,155.42","5,898.32",,0.08,0.27,,0.06,0.42,,,,
4750,Acre,1,5,1 to 4,Male,2017,44,Population,Number,"32,008.28","37,593.56","27,292.16",,0.08,0.27,,0.06,0.86,,,,
4750,Acre,1,6,5 to 9,Male,2017,44,Population,Number,"44,526.97","52,258.22","37,964.46",,0.08,0.27,,0.06,1.66,,,,
4750,Acre,1,7,10 to 14,Male,2017,44,Population,Number,"48,060.24","56,412.39","40,932.15",0.02,0.08,0.27,,0.06,2.56,,,,
4750,Acre,1,8,15 to 19,Male,2017,44,Population,Number,"46,859.86","55,000.11","39,858.88",0.12,0.08,0.27,,0.06,7.10,,,,0.01
4750,Acre,1,9,20 to 24,Male,2017,44,Population,Number,"42,346.42","49,720.87","35,992.63",0.16,0.08,0.27,,0.06,11.88,,24.94,,0.03
4750,Acre,1,10,25 to 29,Male,2017,44,Population,Number,"36,917.19","43,367.83","31,364.36",0.12,0.08,0.27,"4,316.11",0.06,13.25,123.42,25.99,2.95,0.04
4750,Acre,1,11,30 to 34,Male,2017,44,Population,Number,"36,212.36","42,541.43","30,765.97",0.14,0.08,0.27,"4,137.40",0.06,13.43,123.33,26.28,3.15,0.05
4750,Acre,1,12,35 to 39,Male,2017,44,Population,Number,"33,356.07","39,177.64","28,341.73",0.12,0.08,0.27,"3,943.90",0.06,12.42,123.65,26.84,3.31,0.06
4750,Acre,1,13,40 to 44,Male,2017,44,Population,Number,"27,408.52","32,187.00","23,280.05",0.10,0.08,0.27,"3,713.61",0.06,12.32,124.87,27.22,3.40,0.06
4750,Acre,1,14,45 to 49,Male,2017,44,Population,Number,"21,987.45","25,809.64","18,664.08",0.14,0.08,0.27,"3,536.35",0.06,13.11,128.74,27.10,3.46,0.06
4750,Acre,1,15,50 to 54,Male,2017,44,Population,Number,"17,549.82","20,591.33","14,901.40",0.15,0.08,0.27,"3,369.00",0.06,13.30,132.36,27.43,3.47,0.07
4750,Acre,1,16,55 to 59,Male,2017,44,Population,Number,"13,803.56","16,193.11","11,728.53",0.14,0.08,0.27,"3,169.64",0.06,12.89,133.94,26.53,3.45,0.07
4750,Acre,1,17,60 to 64,Male,2017,44,Population,Number,"10,932.55","12,826.94","9,290.43",0.16,0.08,0.27,"2,773.32",0.06,11.99,136.24,26.37,3.40,0.08
4750,Acre,1,18,65 to 69,Male,2017,44,Population,Number,"8,164.73","9,582.88","6,938.85",0.12,0.08,0.27,"2,474.21",0.06,10.62,135.50,26.68,3.32,0.08
4750,Acre,1,19,70 to 74,Male,2017,44,Population,Number,"5,446.02","6,390.92","4,624.93",0.07,0.08,0.27,"2,475.57",0.06,9.25,138.68,25.48,3.28,0.08
4750,Acre,1,20,75 to 79,Male,2017,44,Population,Number,"3,577.49","4,199.71","3,039.04",0.03,0.08,0.27,"2,375.65",0.06,8.26,139.19,25.84,3.26,0.07
4750,Acre,1,30,80 to 84,Male,2017,44,Population,Number,"2,228.69","2,616.29","1,892.93",0.03,0.08,0.27,"2,275.06",0.06,7.65,141.61,25.18,3.20,0.07
4750,Acre,1,31,85 to 89,Male,2017,44,Population,Number,"1,194.83","1,404.41","1,015.42",0.03,0.08,0.27,"2,275.06",0.06,7.04,140.61,25.18,3.19,0.06
4750,Acre,1,32,90 to 94,Male,2017,44,Population,Number,527.25,620.15,448.99,0.03,0.08,0.27,"2,275.06",0.06,6.43,132.39,25.18,3.20,0.05
4750,Acre,1,235,95 plus,Male,2017,44,Population,Number,193.39,226.94,164.93,0.03,0.08,0.27,"2,275.06",0.06,5.83,132.32,25.18,3.12,0.04
4750,Acre,1,42,Neonatal,Male,2017,44,Population,Number,575.82,676.50,489.29,,,,,,,,,,
4750,Acre,1,164,Birth,Male,2017,44,Population,Number,"7,521.26","8,518.28","6,737.84",,,,,,0.32,,,,
4750,Acre,2,2,Early Neonatal,Female,2017,44,Population,Number,137.96,162.08,117.23,,0.08,0.27,,0.06,0.40,,,,
4750,Acre,2,3,Late Neonatal,Female,2017,44,Population,Number,411.61,483.58,349.76,,0.08,0.27,,0.06,0.41,,,,
4750,Acre,2,4,Post Neonatal,Female,2017,44,Population,Number,"6,640.59","7,801.71","5,642.57",,0.08,0.27,,0.06,0.50,,,,
4750,Acre,2,5,1 to 4,Female,2017,44,Population,Number,"30,611.40","35,953.40","26,101.20",,0.08,0.27,,0.06,0.96,,,,
4750,Acre,2,6,5 to 9,Female,2017,44,Population,Number,"42,586.39","49,982.97","36,308.26",,0.08,0.27,,0.06,1.79,,,,
4750,Acre,2,7,10 to 14,Female,2017,44,Population,Number,"45,728.13","53,675.76","38,944.26",0.03,0.08,0.27,,0.06,2.72,,,,
4750,Acre,2,8,15 to 19,Female,2017,44,Population,Number,"45,509.20","53,419.06","38,710.36",0.03,0.08,0.27,,0.06,5.65,,,,0.00
4750,Acre,2,9,20 to 24,Female,2017,44,Population,Number,"42,332.57","49,705.32","35,986.54",0.09,0.08,0.27,,0.06,8.25,,24.41,,0.01
4750,Acre,2,10,25 to 29,Female,2017,44,Population,Number,"38,042.02","44,688.88","32,331.70",0.07,0.08,0.27,"2,353.14",0.06,8.53,111.87,25.92,2.90,0.01
4750,Acre,2,11,30 to 34,Female,2017,44,Population,Number,"36,888.57","43,340.85","31,350.26",0.06,0.08,0.27,"2,383.75",0.06,8.59,113.96,26.25,3.00,0.01
4750,Acre,2,12,35 to 39,Female,2017,44,Population,Number,"33,846.52","39,758.86","28,762.65",0.08,0.08,0.27,"2,422.95",0.06,8.43,116.17,27.50,3.11,0.01
4750,Acre,2,13,40 to 44,Female,2017,44,Population,Number,"27,802.71","32,655.32","23,617.77",0.11,0.08,0.27,"2,525.33",0.06,8.53,120.54,27.25,3.21,0.01
4750,Acre,2,14,45 to 49,Female,2017,44,Population,Number,"22,061.42","25,902.19","18,733.07",0.10,0.08,0.27,"2,447.10",0.06,8.89,122.96,27.86,3.41,0.01
4750,Acre,2,15,50 to 54,Female,2017,44,Population,Number,"17,976.09","21,092.85","15,274.30",0.12,0.08,0.27,"2,276.45",0.06,9.26,124.77,27.77,3.60,0.01
4750,Acre,2,16,55 to 59,Female,2017,44,Population,Number,"14,286.12","16,766.88","12,148.78",0.12,0.08,0.27,"2,188.98",0.06,9.62,127.45,27.65,3.75,0.01
4750,Acre,2,17,60 to 64,Female,2017,44,Population,Number,"11,145.74","13,081.84","9,481.73",0.10,0.08,0.27,"2,057.64",0.06,8.98,131.14,27.77,3.79,0.01
4750,Acre,2,18,65 to 69,Female,2017,44,Population,Number,"8,165.14","9,586.23","6,946.20",0.11,0.08,0.27,"1,930.19",0.06,7.35,134.59,27.21,3.69,0.02
4750,Acre,2,19,70 to 74,Female,2017,44,Population,Number,"5,708.26","6,703.29","4,855.68",0.08,0.08,0.27,"1,857.66",0.06,5.71,137.54,26.28,3.69,0.01
4750,Acre,2,20,75 to 79,Female,2017,44,Population,Number,"3,874.21","4,550.56","3,295.84",0.09,0.08,0.27,"1,824.38",0.06,5.10,143.49,27.03,3.67,0.01
4750,Acre,2,30,80 to 84,Female,2017,44,Population,Number,"2,374.48","2,789.41","2,020.04",0.08,0.08,0.27,"1,791.78",0.06,5.52,143.03,26.51,3.63,0.01
4750,Acre,2,31,85 to 89,Female,2017,44,Population,Number,"1,359.67","1,597.94","1,156.16",0.08,0.08,0.27,"1,791.78",0.06,5.94,141.95,26.51,3.60,0.01
4750,Acre,2,32,90 to 94,Female,2017,44,Population,Number,623.55,733.86,529.89,0.08,0.08,0.27,"1,791.78",0.06,6.36,139.98,26.51,3.54,0.01
4750,Acre,2,235,95 plus,Female,2017,44,Population,Number,216.90,255.44,184.82,0.08,0.08,0.27,"1,791.78",0.06,6.77,136.33,26.51,3.48,0.01
4750,Acre,2,42,Neonatal,Female,2017,44,Population,Number,549.58,645.66,467.00,,,,,,,,,,
4750,Acre,2,164,Birth,Female,2017,44,Population,Number,"7,170.99","8,121.57","6,424.05",,,,,,0.40,,,,
4751,Alagoas,1,2,Early Neonatal,Male,2017,44,Population,Number,660.55,770.04,564.73,,0.06,0.29,,0.09,0.33,,,,
4751,Alagoas,1,3,Late Neonatal,Male,2017,44,Population,Number,"1,971.73","2,298.59","1,685.70",,0.06,0.29,,0.09,0.34,,,,
4751,Alagoas,1,4,Post Neonatal,Male,2017,44,Population,Number,"31,671.69","36,923.25","27,076.67",,0.06,0.29,,0.09,0.43,,,,
4751,Alagoas,1,5,1 to 4,Male,2017,44,Population,Number,"135,800.15","158,392.65","115,754.24",,0.06,0.29,,0.09,0.88,,,,
4751,Alagoas,1,6,5 to 9,Male,2017,44,Population,Number,"163,926.00","191,204.54","139,677.71",,0.06,0.29,,0.09,1.70,,,,
4751,Alagoas,1,7,10 to 14,Male,2017,44,Population,Number,"165,507.85","193,007.20","140,963.19",0.02,0.06,0.29,,0.09,2.62,,,,
4751,Alagoas,1,8,15 to 19,Male,2017,44,Population,Number,"163,886.86","191,075.30","139,481.22",0.06,0.06,0.29,,0.09,7.31,,,,0.01
4751,Alagoas,1,9,20 to 24,Male,2017,44,Population,Number,"152,362.00","177,665.64","129,604.47",0.12,0.06,0.29,,0.09,12.21,,23.97,,0.03
4751,Alagoas,1,10,25 to 29,Male,2017,44,Population,Number,"131,716.83","153,655.39","111,999.84",0.15,0.06,0.29,"4,756.78",0.09,13.53,123.93,25.21,2.93,0.04
4751,Alagoas,1,11,30 to 34,Male,2017,44,Population,Number,"130,948.83","152,872.14","111,344.76",0.12,0.06,0.29,"4,685.09",0.09,13.68,123.81,26.02,3.11,0.05
4751,Alagoas,1,12,35 to 39,Male,2017,44,Population,Number,"125,201.34","146,310.01","106,449.17",0.09,0.06,0.29,"4,425.39",0.09,12.66,124.70,26.35,3.27,0.06
4751,Alagoas,1,13,40 to 44,Male,2017,44,Population,Number,"108,119.80","126,374.37","91,906.56",0.09,0.06,0.29,"3,982.57",0.09,12.58,126.01,26.82,3.36,0.06
4751,Alagoas,1,14,45 to 49,Male,2017,44,Population,Number,"93,114.93","108,850.34","79,176.47",0.11,0.06,0.29,"3,747.09",0.09,13.43,128.91,26.31,3.42,0.07
4751,Alagoas,1,15,50 to 54,Male,2017,44,Population,Number,"81,036.57","94,763.08","68,893.20",0.11,0.06,0.29,"3,625.30",0.09,13.62,130.94,26.58,3.44,0.07
4751,Alagoas,1,16,55 to 59,Male,2017,44,Population,Number,"64,325.26","75,305.41","54,669.63",0.13,0.06,0.29,"3,454.76",0.09,13.14,134.15,26.39,3.42,0.08
4751,Alagoas,1,17,60 to 64,Male,2017,44,Population,Number,"51,162.62","59,935.75","43,454.82",0.12,0.06,0.29,"3,112.23",0.09,12.22,138.63,26.59,3.37,0.08
4751,Alagoas,1,18,65 to 69,Male,2017,44,Population,Number,"40,885.57","47,871.33","34,740.96",0.11,0.06,0.29,"2,854.79",0.09,10.86,137.72,26.35,3.28,0.09
4751,Alagoas,1,19,70 to 74,Male,2017,44,Population,Number,"28,646.81","33,491.64","24,364.52",0.09,0.06,0.29,"2,760.42",0.09,9.50,141.34,25.74,3.25,0.08
4751,Alagoas,1,20,75 to 79,Male,2017,44,Population,Number,"18,426.42","21,544.28","15,674.16",0.08,0.06,0.29,"2,570.38",0.09,8.50,143.75,24.55,3.22,0.08
4751,Alagoas,1,30,80 to 84,Male,2017,44,Population,Number,"11,029.56","12,878.98","9,381.32",0.01,0.06,0.29,"2,417.55",0.09,7.88,144.35,24.70,3.17,0.07
4751,Alagoas,1,31,85 to 89,Male,2017,44,Population,Number,"5,837.06","6,821.16","4,961.84",0.01,0.06,0.29,"2,417.55",0.09,7.25,141.25,24.70,3.15,0.06
4751,Alagoas,1,32,90 to 94,Male,2017,44,Population,Number,"2,950.31","3,436.44","2,507.99",0.01,0.06,0.29,"2,417.55",0.09,6.62,134.06,24.70,3.16,0.05
4751,Alagoas,1,235,95 plus,Male,2017,44,Population,Number,"1,267.88","1,471.84","1,079.44",0.01,0.06,0.29,"2,417.55",0.09,6.00,133.43,24.70,3.09,0.04
4751,Alagoas,1,42,Neonatal,Male,2017,44,Population,Number,"2,632.27","3,068.63","2,250.43",,,,,,,,,,
4751,Alagoas,1,164,Birth,Male,2017,44,Population,Number,"35,236.86","39,516.17","31,814.83",,,,,,0.33,,,,
4751,Alagoas,2,2,Early Neonatal,Female,2017,44,Population,Number,630.51,735.02,539.05,,0.06,0.29,,0.09,0.41,,,,
4751,Alagoas,2,3,Late Neonatal,Female,2017,44,Population,Number,"1,886.94","2,199.71","1,613.22",,0.06,0.29,,0.09,0.42,,,,
4751,Alagoas,2,4,Post Neonatal,Female,2017,44,Population,Number,"30,367.94","35,403.18","25,962.33",,0.06,0.29,,0.09,0.51,,,,
4751,Alagoas,2,5,1 to 4,Female,2017,44,Population,Number,"130,326.06","152,009.57","111,087.16",,0.06,0.29,,0.09,0.98,,,,
4751,Alagoas,2,6,5 to 9,Female,2017,44,Population,Number,"158,150.84","184,471.62","134,757.24",,0.06,0.29,,0.09,1.84,,,,
4751,Alagoas,2,7,10 to 14,Female,2017,44,Population,Number,"159,882.32","186,445.88","136,172.19",0.02,0.06,0.29,,0.09,2.79,,,,
4751,Alagoas,2,8,15 to 19,Female,2017,44,Population,Number,"161,646.47","188,449.63","137,575.97",0.02,0.06,0.29,,0.09,5.78,,,,0.00
4751,Alagoas,2,9,20 to 24,Female,2017,44,Population,Number,"157,520.41","183,632.40","133,993.12",0.04,0.06,0.29,,0.09,8.44,,23.98,,0.01
4751,Alagoas,2,10,25 to 29,Female,2017,44,Population,Number,"147,174.94","171,613.01","125,173.22",0.05,0.06,0.29,"2,572.28",0.09,8.76,113.06,25.06,2.85,0.01
4751,Alagoas,2,11,30 to 34,Female,2017,44,Population,Number,"148,181.66","172,954.96","126,046.53",0.04,0.06,0.29,"2,591.74",0.09,8.82,114.81,25.73,2.94,0.02
4751,Alagoas,2,12,35 to 39,Female,2017,44,Population,Number,"140,061.35","163,733.86","119,127.35",0.06,0.06,0.29,"2,645.38",0.09,8.62,116.99,26.22,3.05,0.02
4751,Alagoas,2,13,40 to 44,Female,2017,44,Population,Number,"122,438.20","143,162.35","104,117.98",0.07,0.06,0.29,"2,755.28",0.09,8.73,121.90,26.41,3.16,0.02
4751,Alagoas,2,14,45 to 49,Female,2017,44,Population,Number,"105,427.36","123,289.04","89,665.08",0.08,0.06,0.29,"2,652.48",0.09,9.15,125.16,26.80,3.35,0.02
4751,Alagoas,2,15,50 to 54,Female,2017,44,Population,Number,"93,168.04","109,033.76","79,210.23",0.08,0.06,0.29,"2,434.14",0.09,9.55,128.69,27.55,3.53,0.02
4751,Alagoas,2,16,55 to 59,Female,2017,44,Population,Number,"76,438.63","89,565.06","64,937.32",0.06,0.06,0.29,"2,306.11",0.09,9.91,133.99,27.48,3.68,0.02
4751,Alagoas,2,17,60 to 64,Female,2017,44,Population,Number,"63,300.74","74,196.40","53,739.30",0.05,0.06,0.29,"2,145.12",0.09,9.24,137.42,27.81,3.72,0.02
4751,Alagoas,2,18,65 to 69,Female,2017,44,Population,Number,"48,990.78","57,419.12","41,600.87",0.05,0.06,0.29,"1,996.83",0.09,7.54,141.82,27.06,3.62,0.02
4751,Alagoas,2,19,70 to 74,Female,2017,44,Population,Number,"34,752.34","40,705.10","29,522.78",0.05,0.06,0.29,"1,911.97",0.09,5.84,143.33,26.30,3.62,0.02
4751,Alagoas,2,20,75 to 79,Female,2017,44,Population,Number,"24,270.16","28,425.21","20,627.02",0.05,0.06,0.29,"1,878.91",0.09,5.22,144.54,25.86,3.61,0.02
4751,Alagoas,2,30,80 to 84,Female,2017,44,Population,Number,"15,886.28","18,604.79","13,498.83",0.02,0.06,0.29,"1,841.80",0.09,5.66,148.58,25.60,3.56,0.02
4751,Alagoas,2,31,85 to 89,Female,2017,44,Population,Number,"9,211.64","10,788.96","7,830.56",0.02,0.06,0.29,"1,841.80",0.09,6.11,147.46,25.60,3.54,0.02
4751,Alagoas,2,32,90 to 94,Female,2017,44,Population,Number,"4,510.85","5,276.73","3,833.31",0.02,0.06,0.29,"1,841.80",0.09,6.56,144.46,25.60,3.46,0.01
4751,Alagoas,2,235,95 plus,Female,2017,44,Population,Number,"1,730.72","2,016.34","1,470.43",0.02,0.06,0.29,"1,841.80",0.09,7.01,140.60,25.60,3.41,0.01
4751,Alagoas,2,42,Neonatal,Female,2017,44,Population,Number,"2,517.44","2,934.73","2,152.27",,,,,,,,,,
4751,Alagoas,2,164,Birth,Female,2017,44,Population,Number,"33,595.83","37,675.84","30,333.17",,,,,,0.41,,,,
4753,Amapá,1,2,Early Neonatal,Male,2017,44,Population,Number,121.58,141.67,102.87,,0.02,0.30,,0.02,0.32,,,,
4753,Amapá,1,3,Late Neonatal,Male,2017,44,Population,Number,361.81,421.61,306.15,,0.02,0.30,,0.02,0.32,,,,
4753,Amapá,1,4,Post Neonatal,Male,2017,44,Population,Number,"5,821.69","6,783.87","4,926.01",,0.02,0.30,,0.02,0.41,,,,
4753,Amapá,1,5,1 to 4,Male,2017,44,Population,Number,"27,408.17","31,788.61","23,277.84",,0.02,0.30,,0.02,0.84,,,,
4753,Amapá,1,6,5 to 9,Male,2017,44,Population,Number,"39,374.34","45,663.52","33,449.40",,0.02,0.30,,0.02,1.63,,,,
4753,Amapá,1,7,10 to 14,Male,2017,44,Population,Number,"42,797.63","49,651.22","36,368.92",0.02,0.02,0.30,,0.02,2.51,,,,
4753,Amapá,1,8,15 to 19,Male,2017,44,Population,Number,"42,721.16","49,607.12","36,317.99",0.08,0.02,0.30,,0.02,6.95,,,,0.02
4753,Amapá,1,9,20 to 24,Male,2017,44,Population,Number,"40,874.33","47,496.10","34,762.42",0.15,0.02,0.30,,0.02,11.60,,24.50,,0.03
4753,Amapá,1,10,25 to 29,Male,2017,44,Population,Number,"36,969.26","42,982.06","31,453.87",0.12,0.02,0.30,"3,998.60",0.02,12.89,122.35,25.71,2.98,0.05
4753,Amapá,1,11,30 to 34,Male,2017,44,Population,Number,"34,106.07","39,668.91","29,021.61",0.12,0.02,0.30,"3,916.01",0.02,13.03,122.59,26.91,3.17,0.05
4753,Amapá,1,12,35 to 39,Male,2017,44,Population,Number,"30,163.13","35,084.98","25,675.22",0.13,0.02,0.30,"3,724.05",0.02,12.01,123.41,27.46,3.33,0.06
4753,Amapá,1,13,40 to 44,Male,2017,44,Population,Number,"25,403.91","29,553.96","21,623.51",0.14,0.02,0.30,"3,435.39",0.02,11.95,124.86,27.71,3.41,0.07
4753,Amapá,1,14,45 to 49,Male,2017,44,Population,Number,"20,602.59","23,984.75","17,529.14",0.12,0.02,0.30,"3,277.77",0.02,12.83,127.52,27.39,3.48,0.07
4753,Amapá,1,15,50 to 54,Male,2017,44,Population,Number,"16,462.78","19,177.25","14,005.34",0.17,0.02,0.30,"3,209.32",0.02,13.03,129.89,27.32,3.50,0.08
4753,Amapá,1,16,55 to 59,Male,2017,44,Population,Number,"12,739.31","14,848.52","10,836.03",0.13,0.02,0.30,"3,054.31",0.02,12.54,132.21,26.76,3.48,0.08
4753,Amapá,1,17,60 to 64,Male,2017,44,Population,Number,"9,187.34","10,713.96","7,812.00",0.10,0.02,0.30,"2,694.58",0.02,11.65,136.05,26.41,3.42,0.09
4753,Amapá,1,18,65 to 69,Male,2017,44,Population,Number,"6,321.50","7,371.83","5,375.04",0.06,0.02,0.30,"2,405.78",0.02,10.37,135.12,26.88,3.33,0.10
4753,Amapá,1,19,70 to 74,Male,2017,44,Population,Number,"4,166.70","4,858.30","3,542.97",0.05,0.02,0.30,"2,311.08",0.02,9.08,133.50,26.03,3.30,0.10
4753,Amapá,1,20,75 to 79,Male,2017,44,Population,Number,"2,781.86","3,243.14","2,365.77",0.03,0.02,0.30,"2,186.14",0.02,8.12,133.00,25.09,3.27,0.09
4753,Amapá,1,30,80 to 84,Male,2017,44,Population,Number,"1,437.88","1,675.91","1,222.98",0.01,0.02,0.30,"2,114.43",0.02,7.50,133.39,24.64,3.22,0.08
4753,Amapá,1,31,85 to 89,Male,2017,44,Population,Number,631.04,735.24,537.05,0.01,0.02,0.30,"2,114.43",0.02,6.87,132.15,24.64,3.20,0.07
4753,Amapá,1,32,90 to 94,Male,2017,44,Population,Number,200.89,233.79,170.80,0.01,0.02,0.30,"2,114.43",0.02,6.24,131.50,24.64,3.22,0.06
4753,Amapá,1,235,95 plus,Male,2017,44,Population,Number,69.54,80.80,59.09,0.01,0.02,0.30,"2,114.43",0.02,5.61,131.16,24.64,3.14,0.05
4753,Amapá,1,42,Neonatal,Male,2017,44,Population,Number,483.39,563.28,409.02,,,,,,,,,,
4753,Amapá,1,164,Birth,Male,2017,44,Population,Number,"6,267.16","7,126.97","5,591.85",,,,,,0.32,,,,
4753,Amapá,2,2,Early Neonatal,Female,2017,44,Population,Number,115.92,135.08,98.09,,0.02,0.30,,0.02,0.39,,,,
4753,Amapá,2,3,Late Neonatal,Female,2017,44,Population,Number,345.45,402.55,292.31,,0.02,0.30,,0.02,0.40,,,,
4753,Amapá,2,4,Post Neonatal,Female,2017,44,Population,Number,"5,566.96","6,487.02","4,710.49",,0.02,0.30,,0.02,0.49,,,,
4753,Amapá,2,5,1 to 4,Female,2017,44,Population,Number,"26,234.35","30,427.20","22,280.86",,0.02,0.30,,0.02,0.94,,,,
4753,Amapá,2,6,5 to 9,Female,2017,44,Population,Number,"37,902.38","43,956.61","32,199.00",,0.02,0.30,,0.02,1.77,,,,
4753,Amapá,2,7,10 to 14,Female,2017,44,Population,Number,"41,648.44","48,318.09","35,393.12",0.02,0.02,0.30,,0.02,2.68,,,,
4753,Amapá,2,8,15 to 19,Female,2017,44,Population,Number,"42,893.52","49,803.33","36,465.91",0.02,0.02,0.30,,0.02,5.49,,,,0.00
4753,Amapá,2,9,20 to 24,Female,2017,44,Population,Number,"41,474.93","48,179.38","35,271.04",0.04,0.02,0.30,,0.02,8.00,,24.67,,0.01
4753,Amapá,2,10,25 to 29,Female,2017,44,Population,Number,"37,503.68","43,589.38","31,902.18",0.05,0.02,0.30,"2,146.29",0.02,8.31,112.52,26.15,2.93,0.01
4753,Amapá,2,11,30 to 34,Female,2017,44,Population,Number,"35,420.96","41,189.87","30,137.48",0.07,0.02,0.30,"2,155.78",0.02,8.38,113.68,27.03,3.03,0.01
4753,Amapá,2,12,35 to 39,Female,2017,44,Population,Number,"31,763.01","36,944.46","27,041.23",0.08,0.02,0.30,"2,176.39",0.02,8.22,116.80,27.12,3.14,0.01
4753,Amapá,2,13,40 to 44,Female,2017,44,Population,Number,"26,201.57","30,482.18","22,302.62",0.06,0.02,0.30,"2,259.42",0.02,8.33,120.56,27.66,3.25,0.02
4753,Amapá,2,14,45 to 49,Female,2017,44,Population,Number,"20,550.41","23,923.06","17,485.42",0.07,0.02,0.30,"2,205.26",0.02,8.69,122.86,27.46,3.45,0.02
4753,Amapá,2,15,50 to 54,Female,2017,44,Population,Number,"16,084.50","18,741.46","13,680.93",0.07,0.02,0.30,"2,051.04",0.02,9.05,128.88,28.46,3.64,0.02
4753,Amapá,2,16,55 to 59,Female,2017,44,Population,Number,"12,372.33","14,422.32","10,521.99",0.08,0.02,0.30,"1,961.65",0.02,9.41,130.40,28.41,3.79,0.02
4753,Amapá,2,17,60 to 64,Female,2017,44,Population,Number,"9,165.98","10,688.53","7,792.10",0.06,0.02,0.30,"1,830.18",0.02,8.78,133.70,28.52,3.83,0.02
4753,Amapá,2,18,65 to 69,Female,2017,44,Population,Number,"6,481.50","7,558.35","5,510.01",0.05,0.02,0.30,"1,712.31",0.02,7.16,133.94,28.13,3.72,0.02
4753,Amapá,2,19,70 to 74,Female,2017,44,Population,Number,"4,525.17","5,277.97","3,847.55",0.03,0.02,0.30,"1,659.19",0.02,5.54,136.41,27.37,3.73,0.02
4753,Amapá,2,20,75 to 79,Female,2017,44,Population,Number,"3,153.81","3,677.55","2,682.35",0.07,0.02,0.30,"1,649.39",0.02,4.94,137.38,27.77,3.72,0.02
4753,Amapá,2,30,80 to 84,Female,2017,44,Population,Number,"1,871.92","2,184.05","1,592.33",0.05,0.02,0.30,"1,618.52",0.02,5.37,139.55,25.83,3.67,0.02
4753,Amapá,2,31,85 to 89,Female,2017,44,Population,Number,"1,020.43","1,191.24",868.19,0.05,0.02,0.30,"1,618.52",0.02,5.80,138.85,25.83,3.65,0.01
