Location,Cardiovascular diseases,Chronic respiratory diseases,Diabetes and kidney diseases,Digestive diseases,Enteric infections,HIV/AIDS and sexually transmitted infections,Maternal and neonatal disorders,Mental disorders,Musculoskeletal disorders,Neglected tropical diseases and malaria,Neoplasms,Neurological disorders,Nutritional deficiencies,Other infectious diseases,Other non-communicable diseases,Respiratory infections and tuberculosis,Self-harm and interpersonal violence,Skin and subcutaneous diseases,Substance use disorders,Transport injuries,Unintentional injuries,HAQ,SDI,<15 years of age (%),65/+ years of age (%)
Acre,0.00479987352,0.0110032845,0.00400407875,0.0689415594,0.730632435,0.124143118,0.0104738342,0.0462496823,0.0513428822,0.0535605513,0.00234507415,0.139780401,0.241769391,0.0534680838,0.71547004,2.42934756,0.00291908826,0.577712259,0.0141916817,0.00588257994,0.0694918872,57.2,0.601605235,0.29372626,0.04965558
Aguascalientes,0.00568353272,0.00949584791,0.00800983937,0.0647537586,0.588913968,0.121143841,0.0108544529,0.0387337374,0.0282671838,0.00373657579,0.00262067375,0.128473782,0.183495456,0.0502787468,0.539335835,2.55560496,0.00225187402,0.436133283,0.0101851826,0.00561007668,0.0374147278,67.8,0.659089353,0.28792001,0.06049093
Alagoas,0.00600718868,0.0103767675,0.0052320117,0.067156578,0.69954074,0.119081081,0.00678195476,0.0507139615,0.0534965862,0.0363748171,0.00283285759,0.13713179,0.261168014,0.0505377839,0.661843748,2.38709621,0.0026771598,0.596924769,0.0140815331,0.00401800235,0.0346652927,56.6,0.555715012,0.27655631,0.07004161
Amapá,0.00446714539,0.0107804458,0.00386391796,0.0643699595,0.425502009,0.129625754,0.00914917903,0.0470595957,0.0499571483,0.0532426528,0.00231567273,0.141203413,0.220194733,0.0452484044,0.688540406,2.41861057,0.00418946124,0.566104225,0.0138533516,0.00693416553,0.0309913764,60.3,0.658517629,0.28335125,0.04135459
Amazonas,0.00473854257,0.0112808257,0.00399843241,0.0648543637,0.514823262,0.128360715,0.00641674153,0.0442316844,0.0510194295,0.0441767025,0.00205493501,0.13891513,0.223800602,0.0496416448,0.701080572,2.42219928,0.0026627353,0.582952597,0.013480756,0.00328334666,0.0327798066,60.4,0.629315711,0.2975544,0.04830943
Antigua and Barbuda,0.00785082436,0.0123402201,0.00800662044,0.0791454641,0.860584161,0.123592553,0.00661382012,0.0392681456,0.0378030437,0.0513957454,0.00270275906,0.127857487,0.0654596554,0.0373494051,0.571374902,2.30904204,0.0016222806,0.582097981,0.0113329473,0.00278316402,0.0450582663,69.8,0.715130979,0.2029339,0.09114472
Argentina,0.0124661699,0.00713774364,0.00645892683,0.0743807823,0.75764534,0.0878260883,0.0079656855,0.0465225656,0.0651651139,0.00589607197,0.00271741415,0.12140614,0.0832449623,0.0360323775,0.503344528,2.3228859,0.00642637272,0.454033688,0.00851924597,0.0079579668,0.0852268191,68.1,0.710150584,0.24033018,0.10953466
Bahia,0.00691187592,0.0109167697,0.00528031135,0.0732438535,0.816267529,0.119972512,0.00627562356,0.0439880856,0.0559838685,0.0266784845,0.00335290063,0.137249473,0.237180685,0.0460175878,0.657023353,2.35007016,0.00335111272,0.616162612,0.0159241607,0.00367705668,0.0376756103,58.8,0.591019766,0.25161202,0.08334717
Baja California,0.00587877863,0.00781452953,0.00879124083,0.0677900078,0.446942452,0.127706177,0.0105839043,0.0371623531,0.0290792809,0.00347850791,0.0028482478,0.129803698,0.193805617,0.0470409581,0.525423796,2.51826409,0.00357814789,0.428849699,0.0099638824,0.00524831473,0.0331074537,70.4,0.656785464,0.2583661,0.05485174
Baja California Sur,0.005342465,0.00834850497,0.00794773489,0.0672026272,0.578777191,0.129536829,0.00830916004,0.0393520941,0.0286379625,0.00522727406,0.0027230765,0.129756558,0.183688324,0.0468545868,0.532111662,2.53623133,0.00315684586,0.428354478,0.0101456777,0.0070187084,0.036970049,69.6,0.658976353,0.25869663,0.05067336
Barbados,0.0110634743,0.0109042264,0.00959862622,0.0844640943,0.855230832,0.122787577,0.00849608865,0.0429725746,0.042615316,0.046075415,0.00440445512,0.1280337,0.0626390741,0.0332400823,0.523591899,2.22670833,0.0022238809,0.637620631,0.00890395078,0.00309243014,0.0408393671,70.8,0.739423177,0.1730223,0.14596399
Belize,0.0049383416,0.0159922867,0.00610540658,0.0650685744,0.778234008,0.123204645,0.016316518,0.0408632359,0.0300840518,0.0391622534,0.00118616667,0.126312246,0.0582376929,0.0505576633,0.617288439,2.45066896,0.0031521395,0.539168362,0.00963692962,0.00345149392,0.0387864757,55.7,0.602243591,0.31181403,0.04702716
Bermuda,0.0121011272,0.0128311437,0.00842382363,0.0944022028,0.988533984,0.106136215,0.00776703869,0.0446768318,0.0461022947,0.0000000232208,0.00513662726,0.127833879,0.0482756438,0.031719888,0.504822155,2.17828076,0.00173389158,0.681466579,0.00846497325,0.00436564627,0.0459616168,83.1,0.80545317,0.14809568,0.17119741
Bolivia,0.00481110672,0.0156942326,0.00528823769,0.0615475801,1.28177414,0.0766355394,0.0153035498,0.0417231179,0.03919431,0.0137917748,0.00172556048,0.117283754,0.0963043587,0.0621731181,0.57591194,2.41403938,0.00156478965,0.606610338,0.0085089363,0.0028887032,0.0351107601,48.8,0.587409304,0.32415354,0.06011663
Campeche,0.00570441397,0.00866796094,0.00873005722,0.0652942951,0.668457138,0.121955153,0.0101534445,0.0430244733,0.0286254608,0.0228952983,0.00289337793,0.128040073,0.196185794,0.0504703739,0.555401562,2.53066752,0.002342653,0.442302409,0.00994227246,0.00511074908,0.0385693604,67.4,0.615914899,0.27965562,0.06615542
Ceará,0.00662746271,0.0105150127,0.00459829814,0.0704105115,0.727062825,0.121365334,0.00768212168,0.0500608619,0.0556982121,0.0298152391,0.00274889571,0.137272008,0.235147048,0.0454041342,0.653565336,2.35724372,0.00252857728,0.636290944,0.0150526983,0.00592328388,0.0416670118,59.7,0.599501511,0.2501864,0.08511149
