Location,Cardiovascular diseases,Chronic respiratory diseases,Diabetes and kidney diseases,Digestive diseases,Enteric infections,HIV/AIDS and sexually transmitted infections,Maternal and neonatal disorders,Mental disorders,Musculoskeletal disorders,Neglected tropical diseases and malaria,Neoplasms,Neurological disorders,Nutritional deficiencies,Other infectious diseases,Other non-communicable diseases,Respiratory infections and tuberculosis,Self-harm and interpersonal violence,Skin and subcutaneous diseases,Substance use disorders,Transport injuries,Unintentional injuries,HAQ,SDI,<15 years of age (%),65/+ years of age (%)
Acre,0.00479987352,0.0110032845,0.00400407875,0.0689415594,0.730632435,0.124143118,0.0104738342,0.0462496823,0.0513428822,0.0535605513,0.00234507415,0.139780401,0.241769391,0.0534680838,0.71547004,2.42934756,0.00291908826,0.577712259,0.0141916817,0.00588257994,0.0694918872,57.2,0.601605235,0.29372626,0.04965558
Alagoas,0.00600718868,0.0103767675,0.0052320117,0.067156578,0.69954074,0.119081081,0.00678195476,0.0507139615,0.0534965862,0.0363748171,0.00283285759,0.13713179,0.261168014,0.0505377839,0.661843748,2.38709621,0.0026771598,0.596924769,0.0140815331,0.00401800235,0.0346652927,56.6,0.555715012,0.27655631,0.07004161
Amapá,0.00446714539,0.0107804458,0.00386391796,0.0643699595,0.425502009,0.129625754,0.00914917903,0.0470595957,0.0499571483,0.0532426528,0.00231567273,0.141203413,0.220194733,0.0452484044,0.688540406,2.41861057,0.00418946124,0.566104225,0.0138533516,0.00693416553,0.0309913764,60.3,0.658517629,0.28335125,0.04135459
Amazonas,0.00473854257,0.0112808257,0.00399843241,0.0648543637,0.514823262,0.128360715,0.00641674153,0.0442316844,0.0510194295,0.0441767025,0.00205493501,0.13891513,0.223800602,0.0496416448,0.701080572,2.42219928,0.0026627353,0.582952597,0.013480756,0.00328334666,0.0327798066,60.4,0.629315711,0.2975544,0.04830943
Bahia,0.00691187592,0.0109167697,0.00528031135,0.0732438535,0.816267529,0.119972512,0.00627562356,0.0439880856,0.0559838685,0.0266784845,0.00335290063,0.137249473,0.237180685,0.0460175878,0.657023353,2.35007016,0.00335111272,0.616162612,0.0159241607,0.00367705668,0.0376756103,58.8,0.591019766,0.25161202,0.08334717
Ceará,0.00662746271,0.0105150127,0.00459829814,0.0704105115,0.727062825,0.121365334,0.00768212168,0.0500608619,0.0556982121,0.0298152391,0.00274889571,0.137272008,0.235147048,0.0454041342,0.653565336,2.35724372,0.00252857728,0.636290944,0.0150526983,0.00592328388,0.0416670118,59.7,0.599501511,0.2501864,0.08511149
Distrito Federal (Brazil),0.00592232391,0.0106987846,0.00450343987,0.0766090872,0.363381696,0.131344896,0.00670856063,0.048699618,0.0582971477,0.0194423966,0.00381345612,0.1402696,0.159990912,0.0401597957,0.644928637,2.33124456,0.00305937248,0.599022472,0.0160230588,0.00506623969,0.0425586293,75.4,0.79189036,0.21461366,0.06158763
Espírito Santo,0.00724399562,0.0111407513,0.00556439644,0.0773023285,0.516810131,0.123510417,0.00520557399,0.0496446844,0.0590638687,0.0316231182,0.00173915842,0.13940646,0.201430671,0.0385262558,0.65275189,2.29484702,0.00261719716,0.629789204,0.0155769184,0.00560135132,0.0450855251,64.1,0.676646695,0.2125774,0.08760833
Goiás,0.00663013014,0.010582883,0.00480537424,0.0802376251,0.606551157,0.127962716,0.0050338083,0.0520806898,0.0591743919,0.0333103621,0.00400563614,0.140576622,0.218079326,0.0389191288,0.668469021,2.31187076,0.00310513437,0.607817909,0.0155649683,0.00682749902,0.0544117463,62.7,0.650146424,0.21074507,0.07710862
Maranhão,0.005432205618,0.01082115011,0.00464308315,0.06767722891,0.7033563297,0.1167140803,0.006476475087,0.0454407403,0.05056241254,0.02938796596,0.002569821238,0.1349649034,0.2665345776,0.05321323662,0.6939354019,2.432010623,0.001932643596,0.5947787596,0.01298308679,0.005842410706,0.02956283293,55,0.507040138,0.31246331,0.06554475
Mato Grosso,0.0061119705,0.0110487205,0.00474702019,0.0753094703,0.614944514,0.127188464,0.00581213792,0.0478588702,0.0573920894,0.0548699595,0.00289612465,0.139817457,0.208709079,0.0415806819,0.68281913,2.33828467,0.00258560512,0.600927993,0.0150368643,0.0069704165,0.047071995,62.5,0.662454796,0.23083579,0.06556793
Mato Grosso do Sul,0.00701742803,0.0105939805,0.00504911494,0.0771890823,0.615619192,0.123872005,0.00689674821,0.0510719298,0.0588236688,0.0264387635,0.00310058948,0.139561943,0.214158279,0.0413630466,0.672184948,2.32842805,0.00404720556,0.619584085,0.0149638628,0.00878449731,0.0680882722,62.4,0.650210546,0.22491407,0.08026321
Minas Gerais,0.0080496008,0.0104630272,0.00531399524,0.0722712873,0.673777214,0.115562376,0.00476825968,0.0513424095,0.0612534387,0.0257113401,0.00334638406,0.139988138,0.207380814,0.0383594875,0.60023916,2.29204304,0.00284725353,0.635150829,0.0161453671,0.00494838355,0.0430710379,64.5,0.660795264,0.2005338,0.10012777
